BIP_SA_DE,BIPVOL_SA_DE,CPR_SA_DE,CPRVOL_SA_DE,BAI_SA_DE,BAIVOL_SA_DE,AVETI_SA_DE,ETI_SA_DE,PRODH_SA_DE,PRODN_SA_DE,VERDH_SA_DE,VERDN_SA_DE,BIPP_SA_DE
574.315,83.41,331.371,92.32,105.591,73.29,13942.138,39263,88.55,95.53,20.57,2268,79.81459394
578.003,83.91,332.534,92.62,107.455,74.7,14017.6458,39245,88.16,96.14,19.9,2262,79.84847788
583.076,84.57,334.11,92.62,109.106,75.83,14088.1036,39336,88.65,96.67,20.11,2266,79.92066806
587.093,84.89,335.25,92.57,112.418,78.04,14175.1666,39444,88.43,96.77,20.07,2268,80.1679243
592.1,85.84,339.215,93.4,110.855,76.96,14230.2121,39298,88.91,98.22,19.81,2279,79.95684011
603.871,87.31,341.819,93.85,118.858,82.33,14365.1155,39530,89.89,99.32,20.02,2285,80.17342849
609.667,87.97,342.456,93.84,119.738,82.44,14435.3321,39733,90.03,99.55,20.14,2298,80.33566011
621.33,89.26,346.987,94.81,123.41,84.71,14565.653,39868,90.81,100.67,20.01,2296,80.68925603
628.202,89.38,344.551,93.45,125.444,84.79,14597.3316,40075,90.39,100.29,19.97,2307,81.47216079
633.349,89.97,348.692,94.1,124.551,84.02,14669.589,40220,90.64,100.59,20.22,2319,81.6010297
638.905,90.43,349.846,94.02,125.168,84.3,14672.3601,40344,91.01,100.78,20.34,2325,81.89813771
645.098,91.1,352.291,93.9,127.956,85.93,14761.7633,40489,91.46,101.18,20.42,2340,82.08382557
650.492,91.63,354.876,94.15,130.328,87.08,14832.8589,40753,91.44,101.1,20.67,2361,82.29141756
648.823,91.3,355.337,93.78,128.555,85.48,14785.6076,40799,90.96,100.63,20.48,2376,82.37695404
647.137,90.8,357.769,93.84,129.202,85.49,14753.7317,40889,90.92,99.86,20.93,2388,82.61533212
639.522,89.39,354.118,93.31,127.578,84.24,14672.0542,40971,90.02,98.11,21.3,2402,82.93098471
615.571,85.2,354.666,94.06,117.117,77.4,14518.6906,41012,86.69,93.41,21.31,2369,83.7507736
618.581,85.41,357.146,94.42,117.35,77.59,14339.2212,40899,88.06,93.9,21.56,2368,83.95336822
624.956,85.94,356.818,94.12,117.446,77.55,14320.458,40845,88.62,94.61,21.66,2395,84.29549455
632.913,86.6,358.547,94.21,116.961,76.76,14283.0141,40867,89.16,95.29,21.67,2407,84.71813654
636.727,87.23,357.793,93.62,118.22,77.52,14437.682,40906,89.38,95.89,21.85,2422,84.61311117
647.996,89.12,363.476,94.52,126.614,82.61,14560.2454,41059,90.32,97.6,21.73,2436,84.28444231
